codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_aids_adulto
312840,Guarani,2021,1,2021-1-01,1
312840,Guarani,2021,2,2021-2-01,0
312840,Guarani,2021,3,2021-3-01,0
312840,Guarani,2021,4,2021-4-01,0
312840,Guarani,2021,5,2021-5-01,0
312870,Guaxupé,2021,1,2021-1-01,2
312870,Guaxupé,2021,2,2021-2-01,3
312870,Guaxupé,2021,3,2021-3-01,1
312870,Guaxupé,2021,4,2021-4-01,1
312870,Guaxupé,2021,5,2021-5-01,0
312900,Guiricema,2021,1,2021-1-01,0
312900,Guiricema,2021,2,2021-2-01,0
312900,Guiricema,2021,3,2021-3-01,0
312900,Guiricema,2021,4,2021-4-01,1
312900,Guiricema,2021,5,2021-5-01,0
312950,Ibiá,2021,1,2021-1-01,0
312950,Ibiá,2021,2,2021-2-01,2
312950,Ibiá,2021,3,2021-3-01,0
312950,Ibiá,2021,4,2021-4-01,1
312950,Ibiá,2021,5,2021-5-01,0
312980,Ibirité,2021,1,2021-1-01,3
312980,Ibirité,2021,2,2021-2-01,3
312980,Ibirité,2021,3,2021-3-01,4
312980,Ibirité,2021,4,2021-4-01,1
312980,Ibirité,2021,5,2021-5-01,2
313000,Ibituruna,2021,1,2021-1-01,0
313000,Ibituruna,2021,2,2021-2-01,0
313000,Ibituruna,2021,3,2021-3-01,0
313000,Ibituruna,2021,4,2021-4-01,1
313000,Ibituruna,2021,5,2021-5-01,0
313010,Igarapé,2021,1,2021-1-01,0
313010,Igarapé,2021,2,2021-2-01,0
313010,Igarapé,2021,3,2021-3-01,1
313010,Igarapé,2021,4,2021-4-01,0
313010,Igarapé,2021,5,2021-5-01,0
313020,Igaratinga,2021,1,2021-1-01,0
313020,Igaratinga,2021,2,2021-2-01,0
313020,Igaratinga,2021,3,2021-3-01,1
313020,Igaratinga,2021,4,2021-4-01,1
313020,Igaratinga,2021,5,2021-5-01,0
313040,Ijaci,2021,1,2021-1-01,1
313040,Ijaci,2021,2,2021-2-01,0
313040,Ijaci,2021,3,2021-3-01,0
313040,Ijaci,2021,4,2021-4-01,0
313040,Ijaci,2021,5,2021-5-01,0
313050,Ilicínea,2021,1,2021-1-01,0
313050,Ilicínea,2021,2,2021-2-01,0
313050,Ilicínea,2021,3,2021-3-01,2
313050,Ilicínea,2021,4,2021-4-01,0
313050,Ilicínea,2021,5,2021-5-01,0
313120,Ipanema,2021,1,2021-1-01,1
313120,Ipanema,2021,2,2021-2-01,0
313120,Ipanema,2021,3,2021-3-01,0
313120,Ipanema,2021,4,2021-4-01,0
313120,Ipanema,2021,5,2021-5-01,0
313130,Ipatinga,2021,1,2021-1-01,4
313130,Ipatinga,2021,2,2021-2-01,2
313130,Ipatinga,2021,3,2021-3-01,2
313130,Ipatinga,2021,4,2021-4-01,4
313130,Ipatinga,2021,5,2021-5-01,0
313150,Ipuiúna,2021,1,2021-1-01,1
313150,Ipuiúna,2021,2,2021-2-01,0
313150,Ipuiúna,2021,3,2021-3-01,0
313150,Ipuiúna,2021,4,2021-4-01,0
313150,Ipuiúna,2021,5,2021-5-01,0
313170,Itabira,2021,1,2021-1-01,4
313170,Itabira,2021,2,2021-2-01,1
313170,Itabira,2021,3,2021-3-01,0
313170,Itabira,2021,4,2021-4-01,6
313170,Itabira,2021,5,2021-5-01,0
313190,Itabirito,2021,1,2021-1-01,0
313190,Itabirito,2021,2,2021-2-01,0
313190,Itabirito,2021,3,2021-3-01,1
313190,Itabirito,2021,4,2021-4-01,1
